pathway,tissue,weighting_variant,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
HALLMARK_TNFA_SIGNALING_VIA_NFKB,colon,all_nes,0.7878753955506327,-2.5374911352689944,1.9081949128118545,-1.9307638595838728,1.6353958385963232,2.14295571305567,-0.7055129844190069,-1.2416651256542244,-2.0976206745033776,1.4398652844924589,0.9466324416047186,0.9526662848884134,-3.165526465601504,0.7301361060143716,-0.8868984257751413,-2.770463617845892
HALLMARK_TNFA_SIGNALING_VIA_NFKB,colon,significant_only,0.0,-2.5374911352689944,1.9081949128118545,-1.9307638595838728,0.0,2.14295571305567,0.0,0.0,-2.0976206745033776,1.4398652844924589,0.0,0.0,-3.165526465601504,0.0,0.0,-2.770463617845892
HALLMARK_INFLAMMATORY_RESPONSE,colon,all_nes,0.7309452342126683,-1.9625785128126771,1.2358698818182194,-1.500994446746034,0.7654353383017757,1.5967227963897432,0.9782747971586178,-1.1672914569910744,0.7450932091775767,1.2753177415880144,-1.167540860590735,-2.157442508668397,-2.272559850962108,1.0017790543731604,1.0208389660283306,-2.6476177538839187
HALLMARK_INFLAMMATORY_RESPONSE,colon,significant_only,0.0,-1.9625785128126771,0.0,-1.500994446746034,0.0,1.5967227963897432,0.0,0.0,0.0,0.0,0.0,-2.157442508668397,-2.272559850962108,0.0,0.0,-2.6476177538839187
HALLMARK_IL6_JAK_STAT3_SIGNALING,colon,all_nes,0.8409651683485605,-1.9909955543725757,1.415805031181197,-1.5472823632486257,0.6646446660370725,1.6019235469843478,0.5626226291190388,-1.1628001915499668,0.5966188501413351,1.3880335354077675,-1.0779532052534524,-2.354606353931843,-1.4019894855842752,0.8702765675700669,1.2475980453371582,-2.209547068420006
HALLMARK_IL6_JAK_STAT3_SIGNALING,colon,significant_only,0.0,-1.9909955543725757,0.0,-1.5472823632486257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.354606353931843,0.0,0.0,0.0,-2.209547068420006
HALLMARK_TGF_BETA_SIGNALING,colon,all_nes,1.1571616745082125,-1.4787725579525,0.9465898837933366,-1.3886351197888438,1.6463473769098156,1.809417541630533,-0.8117230953665162,0.6405271295545829,-1.270738458370487,1.145488711308701,1.4162089529730837,1.2949683380268535,-1.8332110106943356,0.867363134092373,1.0409147149661668,-1.4066531107793003
HALLMARK_TGF_BETA_SIGNALING,colon,significant_only,0.0,0.0,0.0,0.0,0.0,1.809417541630533,0.0,0.0,0.0,0.0,0.0,0.0,-1.8332110106943356,0.0,0.0,0.0
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,colon,all_nes,-0.8981908852399473,-1.263618479132793,-1.596082262631154,-1.0087231180713734,1.5435561167169167,1.3672301597960568,0.6356430592697535,0.0,1.6515102315824055,1.500488769233684,0.6073426106480887,2.0250198453274013,-0.817386723367239,1.8119222021305548,0.7505991041726426,-1.0760461256284195
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,colon,significant_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6515102315824055,1.500488769233684,0.0,2.0250198453274013,0.0,1.8119222021305548,0.0,0.0
HALLMARK_WNT_BETA_CATENIN_SIGNALING,colon,all_nes,1.0321816420538563,1.6321795439364242,1.1833382282865934,1.0487144500577814,-1.3245065700073222,1.4429292706664958,-1.017247468960536,-1.2522852194181275,-1.5549053526906709,1.286837608132876,1.1394629396710354,1.0149832478917868,-1.179175977384467,1.033426887491578,1.154552978444793,1.6191046247470182
HALLMARK_WNT_BETA_CATENIN_SIGNALING,colon,significant_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HALLMARK_PI3K_AKT_MTOR_SIGNALING,colon,all_nes,-1.0358769171153623,-1.039182009983049,-1.309839296271077,1.2742864477060598,1.3459788896609426,1.1724884358171217,1.0250970037321403,-1.534751249156125,-1.1914360766320422,1.1084443734957106,0.7543394006175936,-1.4339733208270835,0.9475135496005656,-0.8986836816747492,-0.8797866656540428,-1.3689330817508378
HALLMARK_PI3K_AKT_MTOR_SIGNALING,colon,significant_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.534751249156125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HALLMARK_MTORC1_SIGNALING,colon,all_nes,-2.185280868459707,-1.3191042969317717,-1.8837781654564327,1.9610222915848652,1.9630986235118555,-1.2884283084304138,1.2024015628901836,-1.0300819244750663,-1.8675940351879672,1.4740547041012388,1.291557429615923,0.7088850473875004,1.8861315535299663,0.6261375803096791,-1.2686760881000982,-2.423755060253554
HALLMARK_MTORC1_SIGNALING,colon,significant_only,-2.185280868459707,0.0,-1.8837781654564327,1.9610222915848652,0.0,0.0,0.0,0.0,-1.8675940351879672,0.0,0.0,0.0,1.8861315535299663,0.0,0.0,-2.423755060253554
HALLMARK_P53_PATHWAY,colon,all_nes,1.2481825615309687,-1.730609579358266,1.0314093284916914,-1.1598638679993902,1.1384037469337065,1.502193926816097,0.799567678464664,-0.8333301082538832,-1.3316753029874906,1.243820532950214,2.040408699162525,-0.991457051278423,-2.135864278657828,0.5260411187583679,-1.0253768978366231,-2.174675911605724
HALLMARK_P53_PATHWAY,colon,significant_only,0.0,-1.730609579358266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.040408699162525,0.0,-2.135864278657828,0.0,0.0,-2.174675911605724
HALLMARK_BILE_ACID_METABOLISM,colon,all_nes,1.18267408962997,1.145419502385593,1.112567943317477,1.0901480273537254,0.8934924605556289,-0.8329953199985503,0.9475544929651804,-0.5173697908168777,-1.039628565850689,-0.837340794419201,1.354590551680498,0.7655613961776205,0.9275827199439156,0.8964142025152914,0.7486719172556168,0.8622781892917699
HALLMARK_BILE_ACID_METABOLISM,colon,significant_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REACTOME_NOD1_NOD2_SIGNALING_PATHWAY,colon,all_nes,-0.958936011155226,-1.5822761350081336,1.2000555138920614,-0.9731886939599884,0.8822083885418843,0.538811364039067,0.5384101157497,-1.3607238449401255,0.500683875630469,1.2306117020880438,-1.645534147670849,-1.5666353688307153,-0.8468344459647587,0.8264585820918672,-1.6939334247726197,-1.373452996484824
REACTOME_NOD1_NOD2_SIGNALING_PATHWAY,colon,significant_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REACTOME_INTERLEUKIN_23_SIGNALING,colon,all_nes,-1.092425912703154,-1.4093290967588727,1.1503497484521497,-1.482727890026011,0.4773626635101586,1.009060946470394,-1.0039127877623122,-1.0739269995896643,0.8174679848141215,1.180805821728787,-0.5903252262932382,-1.2931472689406265,0.8575059994660835,-0.6470212484708208,-0.6643780624442333,-1.1998913162359888
REACTOME_INTERLEUKIN_23_SIGNALING,colon,significant_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,colon,all_nes,0.8050498690487862,-0.7402893113716537,1.2068665603954334,-0.8110263883744443,0.8973921383589629,1.2602192096679954,0.9228454932164362,0.0,1.737491642468806,1.6983537901321435,0.897496725581811,1.1343501429505778,1.6177020149848718,1.743387431431556,0.8433928199272718,1.3207255393610242
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,colon,significant_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.737491642468806,1.6983537901321435,0.0,0.0,1.6177020149848718,1.743387431431556,0.0,0.0
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,colon,all_nes,-0.769614992677911,-1.5175231454225873,1.1816807712797597,-0.7475905813155027,0.7934435392713896,1.7254498501986797,1.4698289837487013,-1.3189135275085135,1.5069948337379413,1.1595782439564355,-1.8880234775152211,-1.9551455340835684,-1.6097379172132975,1.0024148438360525,1.1433639047679829,-2.0951861781449783
