gene,train_mean_pre_zscore,train_std_pre_zscore,std_used,near_zero_std,residualized
PTPRS,3.7766414,0.9690087,0.9690087,False,False
USP32P1,2.0937529,1.316528,1.316528,False,False
NCAM1,2.9162495,0.82049316,0.82049316,False,False
SIRPB2,1.2997879,0.72389,0.72389,False,False
LRRC37A4P,4.14648,1.3775971,1.3775971,False,False
ACKR3,3.2651863,0.8880521,0.8880521,False,False
PARM1,7.5918846,1.7225473,1.7225473,False,False
PXDC1,3.2666,1.2455559,1.2455559,False,False
PRDM8,1.3430325,0.7070071,0.7070071,False,False
AIF1,3.6102302,1.0059217,1.0059217,False,False
MYH14,8.220156,0.9935202,0.9935202,False,False
ITPRIP,3.098168,0.8212532,0.8212532,False,False
CYP26B1,1.4931115,0.8815682,0.8815682,False,False
CYP1B1,1.8467195,0.7673495,0.7673495,False,False
CSRNP1,4.5943413,0.6965689,0.6965689,False,False
HS3ST3A1,1.5763154,0.8715835,0.8715835,False,False
PMP22,5.601216,1.7403954,1.7403954,False,False
MYRFL,2.428784,2.1184597,2.1184597,False,False
SLC26A7,1.1989373,0.80720174,0.80720174,False,False
DIO3OS,1.980084,1.0282614,1.0282614,False,False
SLC1A4,4.769076,0.7503009,0.7503009,False,False
TLR1,4.2369432,1.1094428,1.1094428,False,False
PLEKHS1,3.1846027,1.7001817,1.7001817,False,False
EPHB2,6.308402,1.0696458,1.0696458,False,False
ATRNL1,1.6018641,1.1092943,1.1092943,False,False
TMEM92,2.5858948,1.4906796,1.4906796,False,False
SRD5A3,4.045118,0.8306987,0.8306987,False,False
SGK2,5.6749883,1.3616085,1.3616085,False,False
MUC13,8.913335,1.3179795,1.3179795,False,False
P2RY14,2.8343973,0.82935125,0.82935125,False,False
ABCA7,4.1878676,0.97049683,0.97049683,False,False
CHSY1,4.2959948,0.69749886,0.69749886,False,False
STAT5B,5.5579934,0.6258505,0.6258505,False,False
SLFN13,3.6102154,0.8381877,0.8381877,False,False
ANK2,4.137516,1.047446,1.047446,False,False
COL4A6,2.2914562,1.0000837,1.0000837,False,False
CCDC85A,1.1926093,0.97735554,0.97735554,False,False
SAMHD1,6.3039412,0.7102867,0.7102867,False,False
CLSTN2,2.3488057,0.9660145,0.9660145,False,False
MYO15B,7.848809,0.8344575,0.8344575,False,False
FGFR2,5.4610357,1.2090119,1.2090119,False,False
SLC36A1,6.0073223,1.2417618,1.2417618,False,False
TUSC3,3.3351822,1.1705793,1.1705793,False,False
TRPV2,3.5847025,0.85005873,0.85005873,False,False
KLRB1,3.3014123,0.9622779,0.9622779,False,False
LINC00926,2.3414154,1.0965774,1.0965774,False,False
VASH1,3.8906233,0.7283379,0.7283379,False,False
IFNG-AS1,1.3131014,0.8795633,0.8795633,False,False
PLIN2,5.908944,1.2311217,1.2311217,False,False
DEF6,4.3323584,0.7190219,0.7190219,False,False
NAAA,6.1734195,0.95957077,0.95957077,False,False
CCNA2,4.7059374,0.8014301,0.8014301,False,False
TGFB2,0.9304757,0.56228745,0.56228745,False,False
VLDLR,2.667664,1.3411573,1.3411573,False,False
MPEG1,6.1171384,0.9809844,0.9809844,False,False
PTPRM,4.404832,0.90986824,0.90986824,False,False
ASAP1,3.9305005,0.7553104,0.7553104,False,False
GGA2,5.435978,0.6657497,0.6657497,False,False
CHRNA7,3.0552957,1.3323091,1.3323091,False,False
RNF145,6.0589304,0.8506579,0.8506579,False,False
LAT,2.5920892,1.1234028,1.1234028,False,False
TST,7.6503167,1.0068104,1.0068104,False,False
CMA1,0.9495593,0.67137945,0.67137945,False,False
DEFB1,1.8661528,1.0005497,1.0005497,False,False
NLRP3,2.1422532,0.7900781,0.7900781,False,False
GNG11,3.5039968,0.8589187,0.8589187,False,False
SCUBE2,3.1066005,1.0811877,1.0811877,False,False
A4GALT,2.121749,0.86336505,0.86336505,False,False
EPB41L4B,7.346381,1.3061438,1.3061438,False,False
IL15RA,3.4440875,0.6282077,0.6282077,False,False
SLITRK6,4.0590544,1.1806744,1.1806744,False,False
SH2B2,1.5268525,0.92467755,0.92467755,False,False
CST7,1.9270927,1.0074855,1.0074855,False,False
TMEM125,5.0501122,0.8167126,0.8167126,False,False
MYO16,0.7761152,0.68093026,0.68093026,False,False
GJC1,1.9532704,0.9252718,0.9252718,False,False
CRYBA2,1.2849864,0.72729456,0.72729456,False,False
MRAS,2.2121637,0.79379255,0.79379255,False,False
AMPH,1.0274714,0.5257993,0.5257993,False,False
STMN3,2.7665253,0.8664245,0.8664245,False,False
DTHD1,1.0721928,0.7909635,0.7909635,False,False
MYOCD,2.8660078,0.8765658,0.8765658,False,False
DNMT1,5.3976912,0.7069722,0.7069722,False,False
KNG1,1.0464473,0.7720681,0.7720681,False,False
CCBE1,1.2014316,0.7222661,0.7222661,False,False
FBXO6,3.341752,0.65515614,0.65515614,False,False
ENTPD3,1.4711854,0.7434564,0.7434564,False,False
TNFRSF11B,2.8979669,0.9197016,0.9197016,False,False
CCDC71L,4.811245,0.58911085,0.58911085,False,False
MCTP1,3.6590579,0.9675772,0.9675772,False,False
SH2D7,1.7147721,0.86940295,0.86940295,False,False
RASSF8,2.8243783,0.930723,0.930723,False,False
GCHFR,3.8290155,1.0510267,1.0510267,False,False
CCR6,3.033586,1.3296258,1.3296258,False,False
VEGFA,5.5348997,0.8359082,0.8359082,False,False
UBE2C,3.534469,0.6704944,0.6704944,False,False
CEACAM3,1.1615338,0.7925138,0.7925138,False,False
BST1,3.1700437,1.146512,1.146512,False,False
SETD7,5.779953,0.92241675,0.92241675,False,False
SLC16A1,6.707883,1.5445807,1.5445807,False,False
AHNAK2,3.6727822,1.2616115,1.2616115,False,False
C1QTNF1,3.3463686,0.9617058,0.9617058,False,False
AIFM3,4.5974407,1.8829684,1.8829684,False,False
APIP,4.4109936,0.8263051,0.8263051,False,False
PGAP3,5.060988,0.973258,0.973258,False,False
BCAS4,1.7468126,0.9628674,0.9628674,False,False
GPR35,5.867132,0.8076769,0.8076769,False,False
IL18R1,3.1060967,0.9077246,0.9077246,False,False
VSTM2A,2.076504,1.3971109,1.3971109,False,False
SCN7A,3.2936788,1.2200114,1.2200114,False,False
COL21A1,1.0627712,0.62149215,0.62149215,False,False
ABCC9,1.8714106,0.9328436,0.9328436,False,False
CARD6,3.0129194,0.9971545,0.9971545,False,False
PRCP,5.451961,0.68440515,0.68440515,False,False
CNTN3,3.1590745,1.4009464,1.4009464,False,False
IL6ST,7.6956835,1.0356072,1.0356072,False,False
SEC14L5,1.4043583,0.876399,0.876399,False,False
GLUL,8.008952,0.94151604,0.94151604,False,False
MYLK,6.9870586,0.99197304,0.99197304,False,False
CNTN4,3.2899866,1.1140455,1.1140455,False,False
SGIP1,1.5444416,0.8284243,0.8284243,False,False
ADAMTS5,2.6756978,1.0173068,1.0173068,False,False
RIPK4,4.4368854,0.9720043,0.9720043,False,False
PCK2,6.598169,1.2936714,1.2936714,False,False
ADARB1,3.2200534,0.78057706,0.78057706,False,False
GLI3,2.0211153,0.7978835,0.7978835,False,False
CBR1,6.3906617,1.3440033,1.3440033,False,False
FRZB,4.065298,0.94838476,0.94838476,False,False
MYBPC1,1.0168527,0.9153461,0.9153461,False,False
ETV7,3.0592263,1.0663402,1.0663402,False,False
A2M,8.388904,0.9475705,0.9475705,False,False
CXCR6,3.2801874,0.9317748,0.9317748,False,False
TMEM45A,1.9715065,0.7713924,0.7713924,False,False
ADCY5,3.2530525,0.81618613,0.81618613,False,False
PLAC8,7.547688,1.1568232,1.1568232,False,False
CASR,0.85823923,0.58753896,0.58753896,False,False
NKG7,2.124504,1.1513547,1.1513547,False,False
LGR5,3.245122,1.0878241,1.0878241,False,False
MTSS1,4.5952725,0.945478,0.945478,False,False
CDH19,1.9415038,0.908128,0.908128,False,False
TRIP6,4.0377097,0.7504957,0.7504957,False,False
GGT6,6.758,1.1359905,1.1359905,False,False
MLIP,0.7505275,0.8113118,0.8113118,False,False
GCNT2,4.742975,1.2140155,1.2140155,False,False
SEMA3D,3.0075557,1.1471441,1.1471441,False,False
APOLD1,2.9176795,0.8266965,0.8266965,False,False
IRF7,4.30551,0.81828266,0.81828266,False,False
PIK3IP1,5.2039323,0.74716973,0.74716973,False,False
ARHGAP31,4.6436176,0.7610044,0.7610044,False,False
USH1C,7.2339673,0.9509297,0.9509297,False,False
GDPD3,4.302859,0.96039474,0.96039474,False,False
L1CAM,1.8079156,0.90874016,0.90874016,False,False
